Metric                        Sparse                              Dense
-----------------------------------------------------------------------
filename                    7249.png  yfpyhq-mitochondria-cv1-cells.jpg
ng_fg_ssim                    0.9971                             0.9961
ng_fg_psnr                   28.3186                            30.6680
ng_iou                        0.4511                             0.7723
ng_topo_q                     0.2708                             0.9989
ng_n_components                    4                                 15
ng_n_cycles                       21                                913
ng_euler_characteristic          -17                               -898
ng_n_junctions                    45                               1788
ng_n_endpoints                    21                                307
ng_mean_degree                2.0966                             2.2116
ng_graph_complexity           5.2500                            60.8667
ng_seg_beta_0                      4                                 15
ng_seg_beta_1                      0                                153
graph_n_nodes                    352                               8489
graph_n_edges                    369                               9387
graph_n_endpoints                 21                                307
graph_n_junctions                 45                               1788
graph_n_sampled                  286                               6394
graph_n_components                 4                                 15
graph_mean_degree             2.0966                             2.2116
graph_mean_edge_length        1.8871                             1.9088
graph_mean_width              4.0201                             4.0369
graph_total_edge_length       696.34                           17917.53
graph_mean_curvature          0.0313                             0.0852
ng_psnr                      30.4766                            22.8692
ng_ssim                       0.5552                             0.6630
ng_bytes                        2602                              72810
png_bytes                      45624                             266195
ng_vs_png                    17.5342                             3.6560
ng_vs_raw                    25.1868                             9.9261
image_shape                  256x256                           722x1001
image_pixels                   65536                             722722
image_type                    sparse                              dense
segmenter                  Meijering                               Otsu
n_points                         352                               8489
n_structures                       4                                 15
total_time_ms                 665.16                           46967.85
jpeg_quality                      29                                 75
jpeg_bytes                      2586                              69177
jpeg_psnr                    31.0360                            42.9990
jpeg_ssim                     0.6184                             0.9910
jpeg_fg_psnr                 28.6709                            38.6489
jpeg_fg_ssim                  0.9974                             0.9993
jpeg_iou                      0.4533                             0.7204
jpeg_topo_q                   0.3066                             0.8082
jpeg_beta_0                       13                                224
jpeg_beta_1                        4                                248
jpeg_betti_preservation       0.0000                             0.0000
webp_quality                      35                                 90
webp_bytes                      2454                              69508
webp_psnr                    31.2913                            44.9960
webp_ssim                     0.6620                             0.9928
webp_fg_ssim                  0.9971                             0.9996
webp_fg_psnr                 28.2469                            41.0360
webp_topo_q                   0.2911                             0.8082
webp_iou                      0.4272                             0.7202
jp2_bytes                       3640                               2894
jp2_psnr                     31.4559                            24.2639
jp2_ssim                      0.6691                             0.6723
jp2_fg_ssim                   0.9981                             0.9540
jp2_fg_psnr                  30.1403                            19.5614
jp2_topo_q                    0.3325                             0.8824
jp2_iou                       0.4369                             0.6028
delta_fg_ssim                -0.0003                            -0.0032
delta_fg_psnr                -0.3523                            -7.9809
delta_iou                    -0.0022                             0.0519
delta_topo_q                 -0.0358                             0.1907
delta_psnr                   -0.5595                           -20.1298
delta_ssim                   -0.0632                            -0.3279
